2611.2938,9141.4963
2611.2927,9141.4955
2611.2919,9141.494
2611.2905,9141.4918
2611.3009,9141.4924
2611.3224,9141.4968
2611.3267,9141.4985
2611.3476,9141.505
2611.3628,9141.517
2611.3743,9141.5295
2611.3833,9141.5416
2611.3906,9141.5527
2611.3934,9141.5829
2611.3785,9141.6184
2611.3755,9141.6224
2611.3695,9141.6293
2611.3585,9141.6374
2611.3558,9141.645
2611.3586,9141.6884
2611.352,9141.7175
2611.2896,9141.8696
2611.2634,9141.9906
2611.2574,9142.004
2611.259,9142.008
2611.2625,9142.0128
2611.2724,9142.0208
2611.2792,9142.0243
2611.3223,9142.0289
2611.3248,9142.0317
2611.3266,9142.037
2611.327,9142.0398
2611.3288,9142.0457
2611.3301,9142.0536
2611.3323,9142.0575
2611.3425,9142.0697
2611.3464,9142.0686
2611.3531,9142.0671
2611.3559,9142.0667
2611.3597,9142.0655
2611.3637,9142.0646
2611.3689,9142.0641
2611.3743,9142.0636
2611.3795,9142.0614
2611.3839,9142.0591
2611.3885,9142.0583
2611.3922,9142.0571
2611.3962,9142.0564
2611.4002,9142.0545
2611.41,9142.0517
2611.4145,9142.05
2611.4233,9142.0489
2611.4272,9142.0494
2611.4313,9142.0478
2611.4336,9142.0436
2611.4354,9142.0414
2611.4376,9142.0401
2611.4416,9142.0408
2611.4447,9142.0414
2611.4481,9142.0413
2611.4507,9142.0394
2611.4479,9142.0097
2611.4464,9141.9908
2611.4495,9141.9618
2611.4503,9141.9563
2611.4554,9141.9194
2611.4814,9141.8906
2611.4932,9141.7912
2611.4955,9141.7078
2611.4959,9141.6697
2611.4957,9141.6406
2611.495,9141.5073
2611.4912,9141.4851
2611.5066,9141.4836
2611.5042,9141.4942
2611.502,9141.5044
2611.5009,9141.5141
2611.4989,9141.634
2611.4981,9141.6414
2611.4942,9141.6523
2611.492,9141.6542
2611.4896,9141.6547
2611.4874,9141.654
2611.4732,9141.6401
2611.4695,9141.6369
2611.4614,9141.6311
2611.4546,9141.6242
2611.4456,9141.6145
2611.4425,9141.611
2611.4396,9141.608
2611.4228,9141.5902
2611.4101,9141.5852
2611.404,9141.5673
2611.3517,9141.5082
2611.2977,9141.4951
2611.2928,9141.5021
2611.2924,9141.5033
2611.2912,9141.5045
2611.2892,9141.5061
2611.2868,9141.5069
2611.285,9141.5072
2611.2809,9141.5072
2611.2681,9141.5013
2611.2635,9141.5029
2611.2496,9141.4998
2611.243,9141.5033
2611.2304,9141.5141
2611.2278,9141.5134
2611.2198,9141.5115
2611.2184,9141.512
2611.2194,9141.52
2611.2201,9141.5229
